Edad;Nacionalidad;Sexo;Total
Todas las edades;Total;Ambos sexos;3.569
Todas las edades;Total;Hombres;2.662
Todas las edades;Total;Mujeres;907
Todas las edades;Española;Ambos sexos;3.286
Todas las edades;Española;Hombres;2.457
Todas las edades;Española;Mujeres;829
Todas las edades;Extranjera;Ambos sexos;283
Todas las edades;Extranjera;Hombres;205
Todas las edades;Extranjera;Mujeres;78
Todas las edades;No consta;Ambos sexos;0
Todas las edades;No consta;Hombres;0
Todas las edades;No consta;Mujeres;0
Menores de 15 años;Total;Ambos sexos;12
Menores de 15 años;Total;Hombres;8
Menores de 15 años;Total;Mujeres;4
Menores de 15 años;Española;Ambos sexos;11
Menores de 15 años;Española;Hombres;8
Menores de 15 años;Española;Mujeres;3
Menores de 15 años;Extranjera;Ambos sexos;1
Menores de 15 años;Extranjera;Hombres;0
Menores de 15 años;Extranjera;Mujeres;1
Menores de 15 años;No consta;Ambos sexos;0
Menores de 15 años;No consta;Hombres;0
Menores de 15 años;No consta;Mujeres;0
De 15 a 29 años;Total;Ambos sexos;247
De 15 a 29 años;Total;Hombres;180
De 15 a 29 años;Total;Mujeres;67
De 15 a 29 años;Española;Ambos sexos;192
De 15 a 29 años;Española;Hombres;148
De 15 a 29 años;Española;Mujeres;44
De 15 a 29 años;Extranjera;Ambos sexos;55
De 15 a 29 años;Extranjera;Hombres;32
De 15 a 29 años;Extranjera;Mujeres;23
De 15 a 29 años;No consta;Ambos sexos;0
De 15 a 29 años;No consta;Hombres;0
De 15 a 29 años;No consta;Mujeres;0
De 30 a 39 años;Total;Ambos sexos;456
De 30 a 39 años;Total;Hombres;346
De 30 a 39 años;Total;Mujeres;110
De 30 a 39 años;Española;Ambos sexos;389
De 30 a 39 años;Española;Hombres;296
De 30 a 39 años;Española;Mujeres;93
De 30 a 39 años;Extranjera;Ambos sexos;67
De 30 a 39 años;Extranjera;Hombres;50
De 30 a 39 años;Extranjera;Mujeres;17
De 30 a 39 años;No consta;Ambos sexos;0
De 30 a 39 años;No consta;Hombres;0
De 30 a 39 años;No consta;Mujeres;0
De 40 a 44 años;Total;Ambos sexos;355
De 40 a 44 años;Total;Hombres;275
De 40 a 44 años;Total;Mujeres;80
De 40 a 44 años;Española;Ambos sexos;326
De 40 a 44 años;Española;Hombres;252
De 40 a 44 años;Española;Mujeres;74
De 40 a 44 años;Extranjera;Ambos sexos;29
De 40 a 44 años;Extranjera;Hombres;23
De 40 a 44 años;Extranjera;Mujeres;6
De 40 a 44 años;No consta;Ambos sexos;0
De 40 a 44 años;No consta;Hombres;0
De 40 a 44 años;No consta;Mujeres;0
De 45 a 49 años;Total;Ambos sexos;349
De 45 a 49 años;Total;Hombres;266
De 45 a 49 años;Total;Mujeres;83
De 45 a 49 años;Española;Ambos sexos;324
De 45 a 49 años;Española;Hombres;245
De 45 a 49 años;Española;Mujeres;79
De 45 a 49 años;Extranjera;Ambos sexos;25
De 45 a 49 años;Extranjera;Hombres;21
De 45 a 49 años;Extranjera;Mujeres;4
De 45 a 49 años;No consta;Ambos sexos;0
De 45 a 49 años;No consta;Hombres;0
De 45 a 49 años;No consta;Mujeres;0
De 50 a 54 años;Total;Ambos sexos;377
De 50 a 54 años;Total;Hombres;288
De 50 a 54 años;Total;Mujeres;89
De 50 a 54 años;Española;Ambos sexos;353
